SYNTAX	DESCRIPTION	CLASS	CATEGORY	RANK-POLYMORPHIC	KEYWORDS	EXAMPLE	EXAMPLE OUTPUT	EXPERIMENTAL
¬	calculate 1-x	Primitive	Maths	true	subtract	¬ 7	¯6	false
±	sign of a number	Primitive	Maths	true	signum normalise normalize unit	± -₂⇡5	[¯1 ¯1 0 1 1]	false
±	normalise a complex number	Primitive	Maths	true	normalize unit	⁅₅ ± ℂ4 3	0.6+0.8i	false
±	get case of a character	Primitive	String	true	uppercase lowercase letter	± "abAB,."	[¯1 ¯1 1 1 0 0]	false
¯	negate number	Primitive	Maths	true	negative	¯ 1	¯1	false
¯	toggle case	Primitive	String	true	capitalise capitalize uppercase lowercase	¯"aAbB,."	"AaBb,."	false
¯₄	rotate a quarter turn in the complex plane	Primitive	Maths	true	complex multiply i	¯₄ 2r5i	¯5+2i	false
+	add	Primitive	Maths	true	add addition	+ 1 3	4	false
-@0	convert digit to number	Idiom	String	true	digits number	-@0 @5	5	false
+@0	convert number to digit	String	Idiom	true	digits number	+@0 ⇡10	"0123456789"	false
⍉⇌	rotate a matrix 90 degrees clockwise	Idiom	Array	false	rotate matrix	♭ ⍉⇌ ↯2_2⇡4	[2 0 3 1]	false
⍜△¯	rotate a matrix 180 degrees counterclockwise	Idiom	Array	true	rotate matrix	♭ ⍜△¯ ↯2_2⇡4	[3 2 1 0]	false
⇌⍉	rotate a matrix 90 degrees counterclockwise	Idiom	Array	false	rotate matrix	♭ ⇌⍉  ↯2_2⇡4	[1 3 0 2]	false
⊜□⊸≠	split on an element	Idiom	Array	false	split string	⊜□⊸≠ @\s "split this on spaces"	["split"│"this"│"on"│"spaces"]	false
⊏	apply a permutation	Primitive	Maths	false	permutation	⊏ 1_2_0_3 "abcd"	"bcad"	false
⇡	identity permutation	Primitive	Maths	false	permutation	⇡4	[0 1 2 3]	false
⊏	compose permutations	Primitive	Maths	false	permutation	⊏ 1_0_2_3 2_3_0_1	[3 2 0 1]	false
⍏	invert a permutation	Primitive	Maths	false	inverse	⍏ [1 2 0 3]	[2 0 1 3]	false
-⊸¬	linearly map [0, 1] onto [-1, 1]	Idiom	Maths	true	wrench stretch lerp interpolation	⁅₁₀ -⊸¬ ÷⟜⇡ 5	[¯1 ¯0.6 ¯0.2 0.2 0.6]	false
∿	sine	Primitive	Maths	true	sin trig math	∿ 0	0	false
∿+η	cosine	Idiom	Maths	true	cos trig math	∿+η 0	1	false
∂∿	cosine	Idiom	Maths	true	cos trig math	⁅₁₀ ∂∿ η	0	true
⍜°√/+	euclidean norm	Idiom	Maths	false	distance vector length size	⍜°√/+ 3_4	5	false
⌵ℂ	euclidean norm (2d)	Idiom	Maths	true	distance vector length size	⌵ℂ 5 12	13	false
/+⌵	taxicab norm	Idiom	Maths	false	distance vector length size manhattan	/+⌵ ¯3_2	5	false
